Keyword
"swimming,swim,float,pool,pond "
"gymnasium,gym"
"club,clubhouse,cabaret  "
"park,lawn,garden "
"restaurant,hotel,restaurants"
"basket,basketball"
badminton 
tennis 
security  
"lift,elevator "
sauna 
"gas,cable,pipeline,lineage,channel  "
modular kitchen 
"clinic,pharmacy,drugstore "
"creche, playschool"
"departmental,shop,store,grocery,vegetable,vegetables,storehouse "
water  
guest
gate 
entrance
"sport,sports,arena "
"patio,terrace,roof,"
"multipurpose,hallway,anteroom,hall,dormitory,manor, hall mansion "
"video,television"
"puja,pooja "
"jogging, jog, joggers,walk,walking "
play
"power,backup,backing,generator, "
party hall
squash
duplex
pent
"parking,park,garage, "
rain
fire 
indoor  
outdoor 
solar heating
"senior,elder,old aged,  "
"security,cabin,"
"security,system ,"
"intercommunication,intercom,"
"foot,football"
pooltable
sewage
garbage
landscape 
lush green
podium
cricket
golf
volleyball
earthquake 
"atm,cashmachine"
"skating,skate,rink"
yoga
library 
amphitheater
barbecue
"jacuuzi,jacuzi"
"vaastu,vastu"
"wireless,wifi"
spa
"salon,saloon,parlor,parlour"
fountain
"mandir,temple,shrine,church,dargah,mosque,gurudwara, "
"garden,lawn,park"
health
"promenade,plaza,mall"
school 
bicycle
"servant,handmaid,worker "
"bhk flat,bhk flats,bhk,flat,flats,villa,bunglow,apartment,properties,bhk apartments,bhk apartment,bhk properties,bhk property,bungalow,bhk bunglow,bhk bungalow"
"east,west,north,south,central"
"city,"
"row house,row houses,villas,villas bungalow,villas bungalows,villa bungalow,villa bungalows"
property
"bedroom kitchen,kitchen"
